Region,18-44.x,Gender.x,n.x,sumpops,18-44.y,Gender.y,n.y,smokers,value,lowercl,uppercl,confidence,statistic,method
'Asir,TRUE,Female,27,366324,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Al Bahah,TRUE,Female,27,61969,TRUE,female,3,28,45.1838822637125,30.017729229297558,65.30573279394122,95%,rate per 100000,Byars
Al Hudud ash Shamaliyah,TRUE,Female,27,70149,TRUE,female,2,4,5.702148284366135,1.5536434926033518,14.599764323659208,95%,rate per 100000,Exact
Al Jawf,TRUE,Female,27,103536,TRUE,female,1,23,22.214495441199198,14.077587195384966,33.33411594319651,95%,rate per 100000,Byars
Al Madinah al Munawwarah,TRUE,Female,27,387944,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Al Mintaqah ash Sharqiyah,TRUE,Female,27,877403,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Al Qasim,TRUE,Female,27,249081,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Ar Riyadh,TRUE,Female,27,1609493,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Ha'il,TRUE,Female,27,136642,TRUE,female,1,22,16.100466913540494,10.086571282338937,24.377408688061433,95%,rate per 100000,Byars
Jazan,TRUE,Female,27,267342,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Makkah al Mukarramah,TRUE,Female,27,1507301,NA,NA,NA,NA,NA,NA,NA,95%,rate per 100000,NA
Najran,TRUE,Female,27,105915,TRUE,female,1,82,77.42057310107162,61.572876040312224,96.10049511512905,95%,rate per 100000,Byars
Tabuk,TRUE,Female,27,163453,TRUE,female,3,291,178.03282900895059,158.16258548237136,199.7084831445959,95%,rate per 100000,Byars
